relative_path,group,expected_slug,expected_name,expected_image_type,should_clip_accept,source_url,download_url,license,artist,width,height,review_status,review_note
images/internal/phu-quoc/phu-quoc_01.jpg,internal,phu-quoc,Phú Quốc,travel_landscape,1,https://commons.wikimedia.org/wiki/File:Phu_Quoc_Island_in_Vietnam_(7707805156).jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Phu_Quoc_Island_in_Vietnam_%287707805156%29.jpg,CC BY-SA 2.0,Jimmy McIntyre - Editor HDR One Magazine,900,538,approved,
images/internal/phu-quoc/phu-quoc_02.jpg,internal,phu-quoc,Phú Quốc,travel_landscape,1,https://commons.wikimedia.org/wiki/File:Cau-hon-lang-man-2.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Cau-hon-lang-man-2.jpg,CC BY-SA 4.0,Vivu Vietnam,1600,922,approved,
images/internal/con-dao/con-dao_01.jpg,internal,con-dao,Côn Đảo,travel_landscape,1,"https://commons.wikimedia.org/wiki/File:Carte_d%27une_partie_de_la_c%C3%B4te_de_Cochinchine._Plan_de_l%27Isle_Condor_-_Apr%C3%A8s_De_Mannevillette,_Le_Floch_de_la_Carri%C3%A8re.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Carte_d%27une_partie_de_la_c%C3%B4te_de_Cochinchine._Plan_de_l%27Isle_Condor_-_Apr%C3%A8s_De_Mannevillette%2C_Le_Floch_de_la_Carri%C3%A8re.jpg/1920px-Carte_d%27une_partie_de_la_c%C3%B4te_de_Cochinchine._Plan_de_l%27Isle_Condor_-_Apr%C3%A8s_De_Mannevillette%2C_Le_Floch_de_la_Carri%C3%A8re.jpg,Public domain,"Jean-Baptiste-Nicolas-Denis d'Après de Mannevillette (1707-1780),    René-Julien Le Floch de la Carrière (1730-1792)",4283,6073,rejected,
images/internal/con-dao/con-dao_02.jpg,internal,con-dao,Côn Đảo,travel_landscape,1,https://commons.wikimedia.org/wiki/File:Pulo_Condore_island_beach.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Pulo_Condore_island_beach.jpg/1920px-Pulo_Condore_island_beach.jpg,CC BY-SA 3.0,"[Tycho]      talk   ,  http://shansov.net",2592,1458,approved,
images/internal/vung-tau/vung-tau_01.jpg,internal,vung-tau,Vũng Tàu,travel_landscape,1,"https://commons.wikimedia.org/wiki/File:2nd_Battalion,_16th_Infantry_troops_arrive_on_an_LCU_at_Vung_Tau.jpg",https://upload.wikimedia.org/wikipedia/commons/f/fe/2nd_Battalion%2C_16th_Infantry_troops_arrive_on_an_LCU_at_Vung_Tau.jpg,Public domain,SFC James K. F. Dung,1359,1089,rejected,
images/internal/quy-nhon/quy-nhon_01.jpg,internal,quy-nhon,Quy Nhơn,travel_landscape,1,https://commons.wikimedia.org/wiki/File:QuyNhonBeach1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/QuyNhonBeach1.jpg/1920px-QuyNhonBeach1.jpg,CC BY-SA 3.0,Kelisi,2048,1536,approved,
images/internal/da-nang/da-nang_01.jpg,internal,da-nang,Đà Nẵng,travel_landscape,1,"https://commons.wikimedia.org/wiki/File:Da_Nang,_Vietnam.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Da_Nang%2C_Vietnam.jpg/1920px-Da_Nang%2C_Vietnam.jpg,CC0,Quangpraha,7552,5037,approved,
images/external/big-ben/big-ben_01.jpg,external,,Big Ben,travel_landscape,0,"https://commons.wikimedia.org/wiki/File:Cape_Town_(ZA),_Waterfront,_Clock_Tower,_Detail_--_2024_--_2911.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Cape_Town_%28ZA%29%2C_Waterfront%2C_Clock_Tower%2C_Detail_--_2024_--_2911.jpg/1920px-Cape_Town_%28ZA%29%2C_Waterfront%2C_Clock_Tower%2C_Detail_--_2024_--_2911.jpg,CC BY-SA 4.0,Dietmar Rabich,6459,4306,rejected,
images/external/statue-of-liberty/statue-of-liberty_01.jpg,external,,Tượng Nữ thần Tự do,travel_landscape,0,"https://commons.wikimedia.org/wiki/File:Statue_of_Liberty,_NY.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Statue_of_Liberty%2C_NY.jpg/1920px-Statue_of_Liberty%2C_NY.jpg,CC BY 2.0,William Warby,3558,2668,approved,
images/non_travel/screenshot/screenshot_01.jpg,non_travel,,Ảnh chụp màn hình,screenshot,0,https://commons.wikimedia.org/wiki/File:IBM_Thinkpad_R51.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/IBM_Thinkpad_R51.jpg,CC BY-SA 4.0,André Karwath aka  Aka,1291,1200,rejected,
images/non_travel/screenshot/screenshot_02.jpg,non_travel,,Ảnh chụp màn hình,screenshot,0,https://commons.wikimedia.org/wiki/File:MSI_laptop_with_English_Wikipedia_screenshot_20100614.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/MSI_laptop_with_English_Wikipedia_screenshot_20100614.jpg/1920px-MSI_laptop_with_English_Wikipedia_screenshot_20100614.jpg,CC BY-SA 4.0,Kristoferb  at  English Wikipedia,3282,2432,rejected,
images/non_travel/screenshot/screenshot_03.jpg,non_travel,,Ảnh chụp màn hình,screenshot,0,https://commons.wikimedia.org/wiki/File:MSI_laptop_with_English_Wikipedia_screenshot_20100614_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/MSI_laptop_with_English_Wikipedia_screenshot_20100614_%282%29.jpg/1920px-MSI_laptop_with_English_Wikipedia_screenshot_20100614_%282%29.jpg,CC BY-SA 4.0,Kristoferb  at  English Wikipedia,2387,1935,rejected,
images/non_travel/screenshot/screenshot_04.png,non_travel,,Ảnh chụp màn hình,screenshot,0,https://commons.wikimedia.org/wiki/File:F.lux_on_computer_screen_stitched.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/F.lux_on_computer_screen_stitched.png/1920px-F.lux_on_computer_screen_stitched.png,CC BY-SA 4.0,Paowee,5252,3240,approved,
images/non_travel/food/food_01.jpg,non_travel,,Đồ ăn,food,0,https://commons.wikimedia.org/wiki/File:Tellinas_(Close-Up).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Tellinas_%28Close-Up%29.jpg/1920px-Tellinas_%28Close-Up%29.jpg,CC BY 3.0,Tamorlan,3888,2592,approved,
images/non_travel/food/food_02.jpg,non_travel,,Đồ ăn,food,0,https://commons.wikimedia.org/wiki/File:Lasagne_-_stonesoup.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Lasagne_-_stonesoup.jpg/1920px-Lasagne_-_stonesoup.jpg,CC BY 2.0,jules / stonesoup,2000,2050,approved,
images/non_travel/animal/animal_01.jpg,non_travel,,Động vật,animal,0,https://commons.wikimedia.org/wiki/File:Macaca_nigra_self-portrait_large.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Macaca_nigra_self-portrait_large.jpg/1920px-Macaca_nigra_self-portrait_large.jpg,Public domain,Self-portrait by the depicted  Macaca nigra  female.  See  article .,2912,4030,approved,
images/non_travel/object/object_01.jpg,non_travel,,Đồ vật,object,0,https://commons.wikimedia.org/wiki/File:NED_Synclavier_PSMT_product_label.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/NED_Synclavier_PSMT_product_label.jpg/1920px-NED_Synclavier_PSMT_product_label.jpg,CC BY-SA 2.0,John R. Southern,2816,2112,rejected,
images/internal/phu-quoc/phu-quoc_03.jpg,internal,phu-quoc,Phú Quốc,travel_landscape,1,https://commons.wikimedia.org/wiki/File:Phu_Quoc_Island_in_Vietnam_(7707805156).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Phu_Quoc_Island_in_Vietnam_%287707805156%29.jpg/500px-Phu_Quoc_Island_in_Vietnam_%287707805156%29.jpg,CC BY-SA 2.0,Jimmy McIntyre - Editor HDR One Magazine,900,538,approved,
images/internal/phu-quoc/phu-quoc_04.jpg,internal,phu-quoc,Phú Quốc,travel_landscape,1,https://commons.wikimedia.org/wiki/File:Cau-hon-lang-man-2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Cau-hon-lang-man-2.jpg/500px-Cau-hon-lang-man-2.jpg,CC BY-SA 4.0,Vivu Vietnam,1600,922,approved,
images/internal/phu-quoc/phu-quoc_05.jpg,internal,phu-quoc,Phú Quốc,travel_landscape,1,https://commons.wikimedia.org/wiki/File:Kiss_of_the_Sea_fireworks_show_Sunset_Town_Sun_World_Phu_Quoc_night_Vietnam.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Kiss_of_the_Sea_fireworks_show_Sunset_Town_Sun_World_Phu_Quoc_night_Vietnam.jpg/500px-Kiss_of_the_Sea_fireworks_show_Sunset_Town_Sun_World_Phu_Quoc_night_Vietnam.jpg,CC BY-SA 4.0,Vivu Vietnam,5272,2962,rejected,
images/internal/con-dao/con-dao_03.jpg,internal,con-dao,Côn Đảo,travel_landscape,1,"https://commons.wikimedia.org/wiki/File:Carte_d%27une_partie_de_la_c%C3%B4te_de_Cochinchine._Plan_de_l%27Isle_Condor_-_Apr%C3%A8s_De_Mannevillette,_Le_Floch_de_la_Carri%C3%A8re.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Carte_d%27une_partie_de_la_c%C3%B4te_de_Cochinchine._Plan_de_l%27Isle_Condor_-_Apr%C3%A8s_De_Mannevillette%2C_Le_Floch_de_la_Carri%C3%A8re.jpg/500px-Carte_d%27une_partie_de_la_c%C3%B4te_de_Cochinchine._Plan_de_l%27Isle_Condor_-_Apr%C3%A8s_De_Mannevillette%2C_Le_Floch_de_la_Carri%C3%A8re.jpg,Public domain,"Jean-Baptiste-Nicolas-Denis d'Après de Mannevillette (1707-1780),    René-Julien Le Floch de la Carrière (1730-1792)",4283,6073,rejected,"Bản đồ/tranh tư liệu, không phải ảnh phong cảnh thực tế."
images/internal/con-dao/con-dao_04.jpg,internal,con-dao,Côn Đảo,travel_landscape,1,https://commons.wikimedia.org/wiki/File:Pulo_Condore_island_beach.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Pulo_Condore_island_beach.jpg/500px-Pulo_Condore_island_beach.jpg,CC BY-SA 3.0,"[Tycho]      talk   ,  http://shansov.net",2592,1458,approved,
